Threads,Time_Elapsed,User_Time,Sys_Time,CPU_Utilization
1,0.006428643,0.006781000,0.000000000,#
2,0.007519490,0.004400000,0.006601000,#
4,0.002549357,0.002728000,0.000000000,#
5,0.002837831,0.002336000,0.000000000,#
6,0.002950887,0.003792000,0.000000000,#
10,0.004506295,0.000000000,0.004171000,#
11,0.004496952,0.003586000,0.002390000,#
12,0.003385419,0.001565000,0.001565000,#
